"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4","10uF","https://www.lcsc.com/product-detail/C7171.html?href=jlc-SMT%2F%3Fhref","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_HandSolder","4",""
"C5,C6,C7,C8,C9","100nF","https://www.lcsc.com/product-detail/C49678.html?href=jlc-SMT%2F%3Fhref","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","5",""
"D1","LED Power 5mA","https://www.lcsc.com/product-detail/C2297.html?href=jlc-SMT%2F%3Fhref","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"D2","LED Status 5mA","https://www.lcsc.com/product-detail/C2297.html?href=jlc-SMT%2F%3Fhref","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"D3","LED Power ext. 20mA","https://www.reichelt.de/de/de/shop/suche/3034W2D-EHD-A?GROUPINDEX=0&search=3034W2D-EHD-A","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"D4","LED Status ext. 20mA","https://www.reichelt.de/de/de/shop/suche/3034W2D-EHD-A?GROUPINDEX=0&search=3034W2D-EHD-A","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","1",""
"R1,R2,R3,R4","1k","https://www.lcsc.com/product-detail/C17408.html?href=jlc-SMT%2F%3Fhref","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"R5,R6,R7,R8,R9,R10,R12,R13,R15,R16,R18,R19","10k","https://www.lcsc.com/product-detail/C17414.html?href=jlc-SMT%2F%3Fhref","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","12",""
"R11,R14,R17,R20","2.2k","https://www.lcsc.com/product-detail/C17520.html?href=jlc-SMT%2F%3Fhref","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","4",""
"U1","WT32-ETH01","http://www.wireless-tag.com/wp-content/uploads/2020/08/WT32-ETH01%E8%A7%84%E6%A0%BC%E4%B9%A6V1.2EN%EF%BC%88%E8%8B%B1%E6%96%87%EF%BC%89.pdf","WT32-ETH01:WT32-ETH01_inv_mount","1",""
"U2","TCA9548APWR","http://www.ti.com/lit/ds/symlink/tca9548a.pdf","Package_SO:TSSOP-24_4.4x7.8mm_P0.65mm","1",""
"U3,U4,U5,U6","DS2484R","https://www.analog.com/DS2484/datasheet","Package_TO_SOT_SMD:SOT-23-6","4",""
"X1","PowerSupply","https://www.reichelt.de/de/de/shop/produkt/leiterplattenklemme_mit_hebel_1_5_mm_rm_3_5_mm_3-polig-372627","TerminalBlock_WAGO_3D:TerminalBlock_WAGO_2601-1103_1x03_P3.50mm_Horizontal","1",""
"X2","Debug Terminal","https://www.reichelt.de/de/de/shop/produkt/leiterplattenklemme_mit_hebel_1_5_mm_rm_3_5_mm_5-polig-387513","TerminalBlock_WAGO_3D:TerminalBlock_WAGO_2601-1105_1x05_P3.50mm_Horizontal","1",""
"X3","Ext LED Terminal","https://www.reichelt.de/de/de/shop/produkt/anschlussklemme_4-pol_1_5_mm_rm_3_81-72035","TerminalBlock_MetzConnect_3D:TerminalBlock_MetzConnect_Type086_RT03404HBLC_1x04_P3.81mm_Horizontal","1",""
"X4","1-Wire Ch1","https://www.reichelt.de/de/de/shop/produkt/leiterplattenklemme_mit_hebel_1_5_mm_rm_3_5_mm_4-polig-387512","TerminalBlock_WAGO_3D:TerminalBlock_WAGO_2601-1104_1x04_P3.50mm_Horizontal","1",""
"X5","1-Wire Ch2","https://www.reichelt.de/de/de/shop/produkt/leiterplattenklemme_mit_hebel_1_5_mm_rm_3_5_mm_4-polig-387512","TerminalBlock_WAGO_3D:TerminalBlock_WAGO_2601-1104_1x04_P3.50mm_Horizontal","1",""
"X6","1-Wire Ch3","https://www.reichelt.de/de/de/shop/produkt/leiterplattenklemme_mit_hebel_1_5_mm_rm_3_5_mm_4-polig-387512","TerminalBlock_WAGO_3D:TerminalBlock_WAGO_2601-1104_1x04_P3.50mm_Horizontal","1",""
"X7","1-Wire Ch4","https://www.reichelt.de/de/de/shop/produkt/leiterplattenklemme_mit_hebel_1_5_mm_rm_3_5_mm_4-polig-387512","TerminalBlock_WAGO_3D:TerminalBlock_WAGO_2601-1104_1x04_P3.50mm_Horizontal","1",""
"X10,X11","Conn_01x13_Socket","https://www.reichelt.de/de/de/shop/produkt/buchsenleiste_2_54mm_1x16_trennbar_verzinnt-283793","","2",""
